,en_US,zh_CN
title.line0,Old future,旧未来
title.line1,Relic,遗址
title.menu.start,Start,开始
title.menu.continue,Continue,继续
title.menu.online,Online,在线
title.menu.options,Options,选项
title.menu.exit,Exit,退出
,,
button.back,Back,返回
button.confirm,Confirm,确认
button.cancel,Cancel,取消
,,
#options_game#,Game,游戏
options.game.language,Language,语言
options.game.data,Data Path,存档路径
#options_video#,Video,视频
options.game.fullscreen,Fullscreen,全屏
options.game.scale,Scale,缩放
#options_audio#,Audio,音频
options.audio.master,Master Volume,主音量
options.audio.bgm,Music Volume,音乐音量
options.audio.sfx,SFX Volume,音效音量
#options_control#,Control,控制
options.control.mouse_sen,Mouse Sensitivity,鼠标灵敏度
,,
beginning.title, Select a beginning..., 选择一个开始...
beginning.demo,Demo,演示
beginning.demo.tutorial, Tutorial, 教程
beginning.original,Original Story,原版故事
beginning.original.spare_time, Spare Time, 闲暇时光
beginning.original.body_of_metal, Body of Metal, 金属之躯
,,
beginning.launch,Launch,启动
,,
save.title,Select save,选择存档
save.refresh,Refresh,刷新
save.unselect,Please select a file,请选择一个文件
,,
online.na,Coming s∞n,敬请期待
,,
pause.title,Game paused,游戏暂停了
pause.resume,Resume,继续
,,
exit.ask,Are you sure to exit?,你确定退出吗？
exit.save,Unsaved content will be lost!,未保存的内容将会丢失！
,,
inventory.title, Inventory, 背包
inventory.item.t, Items, 物品
inventory.item,\n\n\nItems,\n\n\n物品
inventory.equipment.t, Equipments, 装备
inventory.equipment,\n\n\nEquipments,\n\n\n装备
inventory.special.t, Special, 特殊
inventory.special,\n\n\nSpecial,\n\n\n特殊
inventory.collection.t, Collections, 收藏
inventory.collection,\n\n\nCollections,\n\n\n收藏
